"Ranking","County","Adherents","Percent"
721,"Clinch County, Georgia",2183,32.11
1825,"Clinton County, Illinois",3773,9.99
1429,"Clinton County, Indiana",5361,16.14
1779,"Clinton County, Iowa",5187,10.56
613,"Clinton County, Kentucky",3590,34.95
1990,"Clinton County, Michigan",5291,7.02
1120,"Clinton County, Missouri",4625,22.30
2203,"Clinton County, New York",2417,2.94
1315,"Clinton County, Ohio",7644,18.18
1762,"Clinton County, Pennsylvania",4252,10.84
1769,"Cloud County, Kansas",1020,10.70
986,"Coahoma County, Mississippi",6629,25.35
138,"Coal County, Oklahoma",3230,54.51
855,"Cobb County, Georgia",196846,28.61
1784,"Cochise County, Arizona",13773,10.49
242,"Cochran County, Texas",1531,48.96
550,"Cocke County, Tennessee",13136,36.83
1938,"Coconino County, Arizona",10785,8.02
1343,"Codington County, South Dakota",4789,17.59
184,"Coffee County, Alabama",25889,51.83
569,"Coffee County, Georgia",15328,36.19
548,"Coffee County, Tennessee",19505,36.94
1204,"Coffey County, Kansas",1752,20.37
198,"Coke County, Texas",1685,50.75
135,"Colbert County, Alabama",29759,54.68
790,"Cole County, Missouri",23002,30.27
308,"Coleman County, Texas",4089,45.97
1020,"Coles County, Illinois",13186,24.48
2049,"Colfax County, Nebraska",637,6.06
1414,"Colfax County, New Mexico",2256,16.41
809,"Colleton County, South Carolina",11561,29.73
1735,"Collier County, Florida",36176,11.25
1064,"Collin County, Texas",184331,23.56
9,"Collingsworth County, Texas",2564,83.87
23,"Colonial Heights city, Virginia",12828,73.68
1570,"Colorado County, Texas",2862,13.71
260,"Colquitt County, Georgia",21870,48.07
779,"Columbia County, Arkansas",7487,30.49
883,"Columbia County, Florida",18869,27.94
1132,"Columbia County, Georgia",27407,22.09
2240,"Columbia County, New York",1329,2.11
1900,"Columbia County, Oregon",4269,8.65
1921,"Columbia County, Pennsylvania",5572,8.28
1532,"Columbia County, Washington",583,14.30
1344,"Columbia County, Wisconsin",9990,17.58
1517,"Columbiana County, Ohio",15657,14.52
363,"Columbus County, North Carolina",25278,43.51
2101,"Colusa County, California",1106,5.16
1154,"Comal County, Texas",23540,21.70
768,"Comanche County, Kansas",581,30.72
591,"Comanche County, Oklahoma",44224,35.64
200,"Comanche County, Texas",7086,50.71
1630,"Concho County, Texas",521,12.75
614,"Concordia Parish, Louisiana",7273,34.93
709,"Conecuh County, Alabama",4297,32.48
2213,"Conejos County, Colorado",228,2.76
1956,"Contra Costa County, California",81120,7.73
1904,"Converse County, Wyoming",1189,8.60
769,"Conway County, Arkansas",6533,30.71
483,"Cook County, Georgia",6797,39.49
1917,"Cook County, Illinois",432975,8.33
1241,"Cook County, Minnesota",1014,19.59
770,"Cooke County, Texas",11800,30.70
834,"Cooper County, Missouri",5123,29.11
2205,"Coos County, New Hampshire",966,2.92
1705,"Coos County, Oregon",7351,11.66
